timestamp,temp,pressure,humidity,wind_speed,weather_code
1752742800,21.28,1010,64,3.92,804
1752746400,21.84,1010,62,3.72,803
1752750000,22.95,1010,58,3.45,803
1752753600,24.61,1010,55,3.36,803
1752757200,24.06,1010,53,2.32,803
1752760800,25.17,1010,50,2.15,803
1752764400,23.5,1010,52,1.7,803
1752768000,22.95,1010,54,1.27,803
1752771600,22.95,1011,56,0.95,803
1752775200,21.19,1011,60,1.72,803
1752778800,20.88,1011,62,2.11,800
1752782400,17.61,1012,68,2.1,802
1752786000,17.39,1012,78,2.46,802
1752789600,16.28,1013,82,1.53,802
1752793200,15.17,1012,83,2.07,802
1752796800,14.61,1012,83,1.78,801
1752800400,14.06,1011,85,0.88,802
1752804000,13.5,1012,88,0.57,803
1752807600,12.95,1013,87,1.4,803
1752811200,12.95,1014,89,1.72,803
1752814800,14.06,1013,91,1.92,803
1752818400,16.28,1012,91,2.47,803
1752822000,17.95,1012,87,3.37,804
1752825600,20.73,1011,72,3.22,804
1752829200,21.84,1011,65,3.97,804
1752832800,22.39,1011,65,3.97,804
1752836400,22.95,1011,65,4.99,804
1752840000,23.5,1011,64,4.37,804
1752843600,22.95,1010,65,4.27,804
1752847200,22.95,1010,67,3.51,804
1752850800,22.95,1010,67,4.07,804
1752854400,22.11,1010,73,3.17,500
1752858000,21.18,1009,81,2.82,500
1752861600,20.58,1009,86,2.9,500
1752865200,19.06,1009,87,1.76,500
1752868800,19.06,1008,89,2.06,804
1752872400,18.5,1008,90,2.4,500
1752876000,17.95,1008,91,2.38,500
1752879600,17.95,1008,92,1.95,804
1752883200,18.5,1008,93,2.01,804
1752886800,18.5,1007,93,2.36,804
1752890400,18.5,1007,93,1.83,804
1752894000,17.95,1007,93,1.76,804
1752897600,18.5,1007,93,1.89,804
1752901200,18.5,1007,93,2.18,804
1752904800,19.06,1008,92,2.41,804
1752908400,19.61,1007,89,3.1,803
1752912000,20.73,1008,86,3.18,804
1752915600,19.88,1008,77,2.78,804
1752919200,22.95,1007,77,2.72,803
1752922800,22.95,1007,77,2.7,803
1752926400,22.95,1007,74,1.96,803
1752930000,24.61,1006,69,1.26,804
1752933600,25.15,1007,60,0.26,804
1752937200,25.16,1006,62,0.88,804
1752940800,23.58,1006,63,0.34,804
1752944400,22.1,1006,70,0.57,804
1752948000,20.91,1006,77,1.3,804
1752951600,20,1006,86,1.61,804
1752955200,19.3,1006,87,1.79,804
1752958800,18.85,1006,89,0.7,804
1752962400,19.61,1006,84,1.27,804
1752966000,18.5,1005,86,2.12,804
1752969600,17.95,1005,87,2.45,804
1752973200,17.39,1005,89,1.69,804
1752976800,17.39,1004,90,1.64,804
1752980400,17.39,1004,92,1.37,804
1752984000,17.95,1004,92,1.6,804
